Confidence,BusName (SSWG),Data Center Name,Online Date,BusID (SSWG),DAM Bus Name,kV,Crypto/Non-Crypto,Dispatchable,Max MW,Expected MW,DAM MW,NewLoad,Dispatchable_Derate,LoadID,NmmsStationCode,NmmsStationName,NmmsWeatherZone,busNum,busName,OldLoad,PrimaryLoadLabel,PrimaryLoadID
1.0,PEBBLCRK_8,GoogleRedOak,2027-12-01,2229,PEBSW,138.0,Non-Crypto,NO,400.0,340.0,60.0,272.0,1.0,D2,PEBSW,PEBBLE CREEK SWITCH,WZ_NORTH_CENTRAL,2229.0,PEBBLCRK_8,60.0,PEBSW_LD2,2 
1.0,WATMLL_14,SkyboxPowerCampusDallas,2027-07-01,2427,WTRML,345.0,Non-Crypto,NO,300.0,300.0,0.0,240.0,1.0,D1,LONG,LONG,WZ_NORTH_CENTRAL,2427.0,LONG        ,0.0,,
1.0,WATMLL_8,DatabankRedOakDFW10,2026-07-01,2429,WTRML,345.0,Non-Crypto,NO,480.0,60.0,0.0,48.0,1.0,D1,REDBUD,REDBUD,WZ_NORTH_CENTRAL,2429.0,REDBUD      ,0.0,,
1.0,WATMLL_8,DatabankRedOakDFW9,2026-07-01,2429,WTRML,345.0,Non-Crypto,NO,480.0,60.0,0.0,48.0,1.0,D2,REDBUD,REDBUD,WZ_NORTH_CENTRAL,2429.0,REDBUD      ,0.0,,
2.0,WATMLL_8,DatabankRedOakDFW11,2027-07-01,2429,WTRML,345.0,Non-Crypto,NO,480.0,60.0,0.0,48.0,1.0,D3,REDBUD,REDBUD,WZ_NORTH_CENTRAL,2429.0,REDBUD      ,0.0,,
2.0,WATMLL_8,DatabankRedOakDFW12,2027-07-01,2429,WTRML,345.0,Non-Crypto,NO,480.0,60.0,0.0,48.0,1.0,D4,REDBUD,REDBUD,WZ_NORTH_CENTRAL,2429.0,REDBUD      ,0.0,,
2.0,WATMLL_8,StackDFW02Building2,2027-07-01,2429,,,Non-Crypto,NO,500.0,100.0,0.0,80.0,1.0,D5,REDBUD,REDBUD,WZ_NORTH_CENTRAL,2429.0,REDBUD      ,0.0,,
2.0,PL_TENNY_8,StackDFW01FutureExpansion,2027-01-01,2523,PTENN,138.0,Non-Crypto,NO,80.0,80.0,0.0,64.0,1.0,D1,ROCKHILL,ROCKHILL,WZ_NORTH_CENTRAL,2523.0,ROCKHILL,0.0,PTENN_LDLXFMR5,1 
2.0,PL_TENNY_8,SkyboxLegacy,2027-07-01,2523,PTENN,138.0,Non-Crypto,NO,100.0,100.0,0.0,80.0,1.0,D2,ROCKHILL,ROCKHILL,WZ_NORTH_CENTRAL,2523.0,ROCKHILL,0.0,PTENN_LDLXFMR6,2 
1.0,ALLEN_N1_8,CyrusOneAllenDFW4,2026-12-01,2533,ALNTH,138.0,Non-Crypto,NO,20.0,20.0,0.0,16.0,1.0,D1,ALNTH,ALLEN NORTH,WZ_NORTH_CENTRAL,2533.0,ALLEN_N1_8,0.0,ALNTH_LDLXFMR1,99
1.0,ALLEN_N1_8,CyrusOneDFW3Bldg2,2026-12-01,2533,ALNTH,138.0,Non-Crypto,NO,80.0,80.0,0.0,64.0,1.0,D2,ALNTH,ALLEN NORTH,WZ_NORTH_CENTRAL,2533.0,ALLEN_N1_8,0.0,ALNTH_LDLXFMR1,99
