ckey,date,priceTypeID,bind_hours,max_sp,sp_sum
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-13,1,9,345.2539978027344,1791.2780132293701
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-14,1,9,205.73500061035156,1067.084993839264
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-15,1,10,110.01100158691406,573.4820023775101
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-16,1,10,319.45001220703125,1652.7150239944458
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-17,1,13,380.91400146484375,2215.485032081604
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-18,1,9,390.0719909667969,2015.7680072784424
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-19,1,9,365.5459899902344,1580.3819789886475
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-20,1,11,142.76400756835938,859.72800552845
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-21,1,8,183.74200439453125,855.3510055541992
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-22,1,8,101.63999938964844,433.72199058532715
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-23,1,8,251.6479949951172,1066.122989654541
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-24,1,8,396.60400390625,1639.2800102233887
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-25,1,9,402.64599609375,1913.9940009117126
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-26,1,8,138.1580047607422,499.64999866485596
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-27,1,8,187.66099548339844,754.5989933013916
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-28,1,9,95.89199829101562,415.8080016374588
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-29,1,9,67.65499877929688,286.5579996109009
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-06-30,1,8,177.41000366210938,419.1190025806427
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-07-01,1,8,119.59600067138672,267.44100046157837
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-07-02,1,7,11.552000045776367,62.85799980163574
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-07-03,1,1,8.732999801635742,8.732999801635742
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-07-04,1,4,1.7050000429153442,5.912000060081482
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-07-05,1,3,23.142000198364258,34.647000432014465
ABNTHWST:138KV-ABNTHWST:138.1KV|SABIABM8,2025-07-06,1,3,15.85099983215332,23.930999994277954
