teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,opeq_status
3596,f1f4255f-9673-49f7-bb9c-ccce5fc439d5,Branch,ACLineSegment,1,E0_F3_1 1 1 138kV,5225,HONDO,F3,5813,PEARSONSW8,PEARSON,1,E0_F3_1,60004663.0,F3_E0,,,1,Line,HONDO,PEARSONSW8,F3_E0_1,1,duplicate_match,different
3632,910ba777-38b9-46e8-b5f3-f25e893e2d6c,Branch,ACLineSegment,2,MILIT2_1 1 2 138kV,5964,MILHWY,MILHWY,8339,MILITARY4A,MILITARY,1,MILIT2_1,60110570.0,MILIT2,,,2,Line,MILHWY,MILITARY4D,MILIT2_1,1,duplicate_match,same_element
3632,910ba777-38b9-46e8-b5f3-f25e893e2d6c,Branch,ACLineSegment,2,MILIT2_1 1 2 138kV,5964,MILHWY,MILHWY,8339,MILITARY4A,MILITARY,1,MILIT2_1,60006196.0,MILIT21,,,2,Line,MILHWY,MILITARY4A,MILIT2_1,1,duplicate_match,same_element
3666,b48cb883-0005-41e1-a67c-bea6733321a1,Branch,ACLineSegment,1,321T667_1 1 1 138kV,7297,L_ROTOTA8_1Y,RTOPTA,7298,L_ROUNTO8_2Y,ROUNTO,1,321T667_1,60009689.0,321T6671,,,1,Line,L_ROTOTA8_1Y,L_ROUNTO8_2Y,321T667_1,1,duplicate_match,different
3666,b48cb883-0005-41e1-a67c-bea6733321a1,Branch,ACLineSegment,1,321T667_1 1 1 138kV,7297,L_ROTOTA8_1Y,RTOPTA,7298,L_ROUNTO8_2Y,ROUNTO,1,321T667_1,60001158.0,321T170,,,1,Line,L_ROTOTA8_1Y,L_ROUNTO8_1Y,321T170_1,1,duplicate_match,different
3688,f3eca311-2ce3-402a-a361-af6a9dc06f8a,Branch,ACLineSegment,1,CHAMPL_WEIL_T1_1 1 1 138kV,8476,CHAMPLIN4A,CHAMPLIN,8482,WEIL_TRC4A,WEIL_TRC,1,CHAMPL_WEIL_T1_1,60080822.0,CITGOW_WEIL_T11,,,1,Line,,,CITGOW_WEIL_T1_1,1,duplicate_match,different
3688,f3eca311-2ce3-402a-a361-af6a9dc06f8a,Branch,ACLineSegment,1,CHAMPL_WEIL_T1_1 1 1 138kV,8476,CHAMPLIN4A,CHAMPLIN,8482,WEIL_TRC4A,WEIL_TRC,1,CHAMPL_WEIL_T1_1,60003787.0,CHAMPL_WEIL_T11,,,1,Line,WEIL_TRC4A,CHAMPLIN4A,CHAMPL_WEIL_T1_1,1,duplicate_match,different
3703,f5c8cb99-4937-4135-9f59-d6e4953336a5,Branch,ACLineSegment,1,WESLCO_HIDLBRG_1 1 1 138kV,5765,HEIDLBRGSUB8,MV_HBRG4,5768,WESLACOSUB8,MV_WESL4,1,WESLCO_HIDLBRG_1,60008025.0,WESLCO_HIDLBRG1,,,1,Line,WESLACOSUB8,HEIDLBRGSUB8,WESLCO_HIDLBRG_1,1,duplicate_match,different
3703,f5c8cb99-4937-4135-9f59-d6e4953336a5,Branch,ACLineSegment,1,WESLCO_HIDLBRG_1 1 1 138kV,5765,HEIDLBRGSUB8,MV_HBRG4,5768,WESLACOSUB8,MV_WESL4,1,WESLCO_HIDLBRG_1,60001085.0,3051,,,1,Line,HEIDLBRGSUB8,WESLACOSUB8,3051_1,1,duplicate_match,different
3705,f5df30f2-b1fa-4849-ba26-0a3734fc0f07,Branch,ACLineSegment,1,256_A_1 _1 1 345kV,967,GIBN_CREK_5,GIBCRK,3400,TWIN_OAK_N5,TOKSW,_1,256_A__1,60092468.0,256_A_1,,,1,Line,TWIN_OAK_N5,GIBN_CREK_5,256_A__1,_1,duplicate_match,different
3705,f5df30f2-b1fa-4849-ba26-0a3734fc0f07,Branch,ACLineSegment,1,256_A_1 _1 1 345kV,967,GIBN_CREK_5,GIBCRK,3400,TWIN_OAK_N5,TOKSW,_1,256_A__1,60001007.0,256_A,,,1,Line,GIBN_CREK_5,TWIN_OAK_N5,256_A_1,1,duplicate_match,different
3739,b623321e-6242-474f-8bc6-2e9eb9f0b52c,Branch,ACLineSegment,1,BURNS_HEIDLBRG_1 1 1 138kV,5763,BURNSSUB8,MV_BURNS,5765,HEIDLBRGSUB8,MV_HBRG4,1,BURNS_HEIDLBRG_1,60008661.0,BURNS_HEIDLBRG1,,,1,Line,HEIDLBRGSUB8,BURNSSUB8,BURNS_HEIDLBRG_1,1,duplicate_match,different
3739,b623321e-6242-474f-8bc6-2e9eb9f0b52c,Branch,ACLineSegment,1,BURNS_HEIDLBRG_1 1 1 138kV,5763,BURNSSUB8,MV_BURNS,5765,HEIDLBRGSUB8,MV_HBRG4,1,BURNS_HEIDLBRG_1,60007027.0,S103,,,1,Line,BURNSSUB8,HEIDLBRGSUB8,S103_1,1,duplicate_match,different
3773,f6a5ac68-00c6-4011-866c-b8b7a17c0336,Branch,ACLineSegment,1,6085_D_1 _1 1 138kV,610,PATTSNST,PATTSNST,1469,SUNSETSW_8,SNSTP,_1,6085_D__1,60092474.0,6085_D_1,,,1,Line,SUNSETSW_8,PATTSNST,6085_D__1,_1,duplicate_match,different
3773,f6a5ac68-00c6-4011-866c-b8b7a17c0336,Branch,ACLineSegment,1,6085_D_1 _1 1 138kV,610,PATTSNST,PATTSNST,1469,SUNSETSW_8,SNSTP,_1,6085_D__1,60001834.0,6085_D,,,1,Line,PATTSNST,SUNSETSW_8,6085_D_1,1,duplicate_match,different
3782,f7ae3f79-5fd1-4ab1-9f38-01fb235f0fa2,Branch,ACLineSegment,1,JOURDN_PLEASN1_1 1 1 69kV,8200,PLEASANT2A,PLEASN69,8607,JOURDNTN2A,JOURDNTN,1,JOURDN_PLEASN1_1,60005566.0,JOURDN_PLEASA1,,,1,Line,PLEASANT2A,JOURDNTN2A,JOURDN_PLEASA1_1,1,duplicate_match,different
3782,f7ae3f79-5fd1-4ab1-9f38-01fb235f0fa2,Branch,ACLineSegment,1,JOURDN_PLEASN1_1 1 1 69kV,8200,PLEASANT2A,PLEASN69,8607,JOURDNTN2A,JOURDNTN,1,JOURDN_PLEASN1_1,60009160.0,JOURDN_PLEASN11,,,1,Line,JOURDNTN2A,PLEASANT2A,JOURDN_PLEASN1_1,1,duplicate_match,different
