teid,branch_id,ercotDampsseId,from_bus,to_bus,ckt,default_status,default_status_source,in_service_date,retirement_date,DeviceType,match_status,in_service_date_source,retirement_date_source,dates_review_flag,status_review_flag,dampsse_default_status,dampsse_pct_inservice,implied_default_status,pct_closed
468141,60071529.0,9394.0,TYLERSW_8,TYLERSW_9,1,Closed,dampsse_inservice,2020-12-02 13:45:00,2026-06-29 09:54:00,Transformer,duplicate_resolved_by_latest_id,energization_outage,retirement_outage,ok,no_pto_data,Closed,0.8468,,
548382,60112334.0,10757.0,APOGEE_W1,APOGEE_5,T1,Closed,dampsse_inservice,2021-12-29 14:38:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9881,Closed,1.0
299915,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
280275,60111777.0,10788.0,AMOC_AMOCO_2,AMOCOOIL_1_8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,1.0,Closed,1.0
375370,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
548384,60112335.0,941.0,APOGEE_W5,APOGEE_5,T3,Closed,dampsse_inservice,2021-12-29 16:27:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9898,Closed,1.0
839310,60112366.0,13004.0,MLB_SLR_S2,MLB_SLR_6,T1,Closed,dampsse_inservice,2026-01-17 11:03:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,mixed,Closed,0.6528,Closed,0.714
279289,60007166.0,7896.0,SGVLSW1_5,SGVSW2_1,2,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9994,Closed,1.0
92687,60112145.0,6295.0,REROCK_8,REROCK_UNIT2,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.995,Closed,1.0
423287,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
335097,60112601.0,1157.0,BBREEZE_W1,BBREEZE_5,T1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,evidence_dropped_wrong_device,clear_majority,Closed,0.99,Closed,1.0
640238,60112481.0,11344.0,CORAL_S2,CORAL_8,T2,Closed,dampsse_inservice,2023-08-08 10:13:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,multiple_confirmed_energization_events,clear_majority,Closed,0.9913,Closed,1.0
279248,60005780.0,4633.0,LAKE_CRK1_8,LCSES1_1,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.8892,Closed,0.9
280276,60111842.0,1065.0,BTE_BTE_G3,BTE_1_8,G3,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9905,Closed,1.0
774319,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
31680,60112800.0,2753.0,ECLIPSE_8,ECLIPS_UNIT1,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9991,Closed,1.0
279832,60086450.0,,,,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_latest_id,default,default,ok,no_pto_data,Closed,0.9939,,
