teid,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
435649,T1,T1,COYOTEWT1,COYOTEWT1,2020-04-24 16:01:00,2020-04-24 16:01:00,2020-08-24 09:00:00
435649,T1,T1,COYOTEWT1,COYOTEWT1,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-24 16:00:00
435650,T2,T2,COYOTEWT2,COYOTEWT2,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-24 16:00:00
439869,T1,T1,IMPACTT1,IMPACTT1,2020-05-06 00:01:00,2020-05-06 00:01:00,2020-08-12 09:21:00
446033,WT1,WT1,MAVCRKWWT1,MAVCRKWWT1,2020-07-30 10:01:00,2020-07-30 10:01:00,2020-08-11 16:00:00
451164,T1,T1,MARYNEALT1,MARYNEALT1,2020-08-05 00:00:00,2020-08-05 00:00:00,
436767,T-1,T1,CHALUPAT1,CHALUPAT1,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-07-31 12:32:00
446033,WT1,WT1,MAVCRKWWT1,MAVCRKWWT1,2020-07-08 00:00:00,2020-07-08 00:00:00,2020-07-30 10:00:00
446034,WT2,WT2,MAVCRKWWT2,MAVCRKWWT2,2020-07-08 00:00:00,2020-07-08 00:00:00,2020-07-30 10:00:00
429037,AX2L,AX2L,WLFSWAX2L,WLFSWAX2LH,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-07-05 11:57:00
429036,AX2H,AX2H,WLFSWAX2H,WLFSWAX2HH,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-07-05 11:57:00
429032,AX1L,AX1L,WLFSWAX1L,WLFSWAX1LH,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-07-05 11:56:00
429035,AX1H,AX1H,WLFSWAX1H,WLFSWAX1HH,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-07-05 11:56:00
442273,SKYLINEAUTO1,SKYLINEAUTO1,SKYLINEMR1,SKYLINEMR1H,2020-06-17 00:00:00,2020-06-17 00:00:00,2020-06-30 12:52:00
