teid,branch_id,base_model_status,implied_default_status,pct_closed,base_from_name,base_to_name,base_circuit,base_device_type,from_bus,to_bus,ckt,DeviceType,match_type
421818,60111868.0,Open,Closed,1.0,TXPET__X33T9,PR_PR_G2,3,Transformer,PR_PR_G2,TXPET__X33T9,3,Transformer,direct_label
438080,60011288.0,Open,Closed,1.0,LENORAH_8,FLATLAND_8,1,Line,LENORAH_8,REDSALT_8,1,Line,direct_label
4440,60003809.0,Open,Closed,1.0,CHLC_VER2A,VERN2A,1,Line,CHLC_VER2A,VERN2A,1,Line,direct_label
4523,60003491.0,Open,Closed,1.0,PCOMFORT2A,BROOKHOL2A,1,Line,PCOMFORT2A,BROOKHOL2A,1,Line,direct_label
453417,60000607.0,Closed,Open,0.2,L_KUNITZ8_1Y,L_PINNAC8_1Y,1,Line,L_KUNITZ8_1Y,L_PINNAC8_1Y,1,Line,direct_label
470030,60068020.0,Open,Closed,1.0,SWIMMER,POOLVILLE_8,1,Line,SWIMMER,POOLVILLE_8,1,Line,direct_label
476559,60012989.0,Open,Closed,1.0,FRESTONE1_9,WTXGFPOD_9,1,Line,FRESTONE1_9,WTXGFPOD_9,1,Line,direct_label
4850,60002555.0,Open,Closed,1.0,JAXVL_9,REYNLDST_9,1,Line,JAXVL_9,REYNLDST_9,1,Line,direct_label
486974,60111643.0,Closed,Open,0.176,LP_POSEY_S7,PYT2STAR,1,Transformer,PYT2STAR,LP_POSEY_S7,1,Transformer,direct_label
486975,60111640.0,Closed,Open,0.176,LP_POSEY3,PYT2STAR,1,Transformer,LP_POSEY3,PYT2STAR,1,Transformer,direct_label
487,60000904.0,Open,Closed,1.0,EQUIPIPE1_9,MERTENS1_9,1,Line,EQUIPIPE1_9,MERTENS1_9,1,Line,direct_label
4871,60001132.0,Open,Closed,1.0,QUANEXSW9,SUNNYSIDESB9,1,Line,QUANEXSW9,SUNNYSIDESB9,1,Line,direct_label
487530,60012007.0,Closed,Open,0.3,SHELL__POI_8,BOGGY__POI_8,1,Line,BOGGY__POI_8,SHELL__POI_8,1,Line,direct_label
489885,60011567.0,Closed,Open,0.1,JOSLIN4A,SANDCRAB4A,1,Line,JOSLIN4A,SANDCRAB4A,1,Line,direct_label
489970,60011606.0,Closed,Open,0.3,FIDLWD_5,LP_POSEY_S7,1,Line,FIDLWD_5,LP_POSEY_S7,1,Line,direct_label
4968,60003143.0,Closed,Open,0.0,SHELL__POI_8,AIRPRO_POI_8,85,Line,SHELL__POI_8,AIRPRO_POI_8,85,Line,direct_label
5100,60004824.0,Open,Closed,0.6,FRPHILLT2A,L_GILLES9_1Y,1,Line,FRPHILLT2A,L_GILLES9_1Y,1,Line,direct_label
5121,60002276.0,Open,Closed,0.824,L_TURTCR8_1Y,L_HUNT__8_1Y,1,Line,L_TURTCR8_1Y,L_HUNT__8_1Y,1,Line,direct_label
5144,60006800.0,Open,Closed,1.0,TNNRTHNNAT0,TNPUCKTFLD0,1,Line,TNNRTHNNAT0,TNPUCKTFLD0,1,Line,direct_label
5393,60004716.0,Open,Closed,1.0,SANA_TAP2A,FIREROCK2A,1,Line,SANA_TAP2A,FIREROCK2A,1,Line,direct_label
553239,60012023.0,Closed,Open,0.0,PES1_8,H_O_C__POI_8,1,Line,PES1_8,H_O_C__POI_8,1,Line,direct_label
570163,60012317.0,Open,Closed,1.0,BTSTARTA_9,WILLSPNT_9,1,Line,WILLSPNT_9,BTSTARTA_9,1,Line,direct_label
570510,60012107.0,Open,Closed,1.0,MIDLDWNT_T8,MIDLDWNT_8,1,Line,MIDLDWNT_8,MIDLDWNT_T8,1,Line,direct_label
5760179,60012510.0,Closed,Open,0.25,TNCOYANOSA1,TNBCCANYON1,1,Line,TNCOYANOSA1,TNBCCANYON1,1,Line,direct_label
5760701,60008819.0,Closed,Open,0.1,L_FAYETT8_1Y,1000,3,Transformer,L_FAYETT8_1Y,1000,3,Transformer,direct_label
5760755,60012785.0,Closed,Open,0.3,HODLRAN27A,CLEARCRO7A,1,Line,CLEARCRO7A,HODLRAN27A,1,Line,direct_label
579486,60012206.0,Open,Closed,1.0,BAEZ2A,CHSEFLD2B,1,Line,CHSEFLD2B,BAEZ2A,1,Line,direct_label
