teid,substation,star_bus,ckt,inferred_status,source,sibling_teids,sibling_statuses,flag
493695,BOG,110968,4,Closed,inferred_transformer_winding,493694,Closed,
493693,BOG,110969,5,Closed,inferred_transformer_winding,493691,Closed,
493692,BOG,110969,5,Closed,inferred_transformer_winding,493691,Closed,
493699,BOG,110970,6,Closed,inferred_transformer_winding,493697,Closed,
493698,BOG,110970,6,Closed,inferred_transformer_winding,493697,Closed,
279499,BOMSW,24052,1,Closed,inferred_transformer_winding,279491;279497,Closed;Closed,
280232,BOMSW,24053,2,Closed,inferred_transformer_winding,280260;280060,Closed;Closed,
647464,BROOKHOL,88741,1,Closed,inferred_transformer_winding,647462;647463,Closed;Closed,
277205,CAGNON,5061,1,Closed,inferred_transformer_winding,262772;274169,Closed;Closed,
279706,CAGNON,5063,3,Closed,inferred_transformer_winding,279709;279710,Closed;Closed,
280369,CAGNON,5064,4,Closed,inferred_transformer_winding,280381;279908,Closed;Closed,
860281,CANGREJO,80344,1A,,,860279;860280,Open;Open,all_siblings_open
748682,CATSW,20055,1,Closed,inferred_transformer_winding,748681;748680,Closed;Closed,
748708,CATSW,20056,2,Closed,inferred_transformer_winding,748707;748706,Closed;Closed,
124572,CBFSW,24010,1,Closed,inferred_transformer_winding,132781;127817,Closed;Closed,
279490,CBY,49107,2A,Closed,inferred_transformer_winding,279495;279493,Closed;Closed,
279496,CBY,49105,2B,Closed,inferred_transformer_winding,279498;279492,Closed;Closed,
280066,CBY,49106,A1,Closed,inferred_transformer_winding,280289,Closed,
279934,CBY,49106,A1,Closed,inferred_transformer_winding,280289,Closed,
279506,CBY,49110,A3,Closed,inferred_transformer_winding,279501;279505,Closed;Closed,
279266,CDHSW,24054,1,Closed,inferred_transformer_winding,279268;279267,Closed;Closed,
345060,CFLATS,170447,01,Closed,inferred_transformer_winding,345059,Closed,
345061,CFLATS,170447,01,Closed,inferred_transformer_winding,345059,Closed,
659627,CHLD,6027,1,Closed,inferred_transformer_winding,659626;659625,Closed;Closed,
609506,CL,49103,A1,Closed,inferred_transformer_winding,609504;609505,Closed;Closed,
465300,CMBSW,24135,1,Closed,inferred_transformer_winding,465299;465298,Closed;Closed,
279292,CMNSW,24055,1,Closed,inferred_transformer_winding,279293;279291,Closed;Closed,
754789,CMTSW,24164,2,Closed,inferred_transformer_winding,754787;754788,Closed;Closed,
279416,CN345,24056,1,Closed,inferred_transformer_winding,279422;279417,Closed;Closed,
20932,CN345,24047,3,Closed,inferred_transformer_winding,20860;20920,Closed;Closed,
280308,COLETO,8163,1,Closed,inferred_transformer_winding,279892;279945,Closed;Closed,
279330,COLETO,8165,2,Closed,inferred_transformer_winding,279336;279335,Closed;Closed,
603094,CONSW,24144,1,Closed,inferred_transformer_winding,603092;603093,Closed;Closed,
603132,CONSW,24143,2,Closed,inferred_transformer_winding,603131;603130,Closed;Closed,
279070,CRKET,24060,1,Closed,inferred_transformer_winding,279072;279073,Closed;Closed,
279464,CRLNW,24061,1,Closed,inferred_transformer_winding,279463;279462,Closed;Closed,
370249,CRSCN,24122,1,Closed,inferred_transformer_winding,370247;370248,Closed;Closed,
423287,CVC,110828,1,Closed,inferred_transformer_winding,423285,Closed,
423286,CVC,110828,1,Closed,inferred_transformer_winding,423285,Closed,
155603,DCSES,24023,1,,,155001;159871,Open;Open,all_siblings_open
339762,DEC,151204,1,Closed,inferred_transformer_winding,339733,Closed,
339766,DEC,151206,3,Closed,inferred_transformer_winding,339761,Closed,
339767,DEC,151206,3,Closed,inferred_transformer_winding,339761,Closed,
377190,DENTSW,841,1,Closed,inferred_transformer_winding,377189;377188,Closed;Closed,
279254,DESSW,24062,1,Closed,inferred_transformer_winding,279256;279252,Closed;Closed,
126113,DMTSW,24000,1,Closed,inferred_transformer_winding,126319;126465,Closed;Closed,
126152,DMTSW,24001,2,Closed,inferred_transformer_winding,126292;126752,Closed;Closed,
280451,DOW,49191,A1,Closed,inferred_transformer_winding,280440;279846,Closed;Closed,
379014,DOW,49192,A2,Closed,inferred_transformer_winding,379013;379012,Closed;Closed,
319011,DOW,49196,A6,Closed,inferred_transformer_winding,319008;319007,Closed;Closed,
453260,DPW,49160,A1,Closed,inferred_transformer_winding,453247;453256,Closed;Closed,
280012,DT,49111,A1,Closed,inferred_transformer_winding,280010;280011,Closed;Closed,
280015,DT,49120,A2,Closed,inferred_transformer_winding,280013;280014,Closed;Closed,
279573,EDGWD,24063,1,Closed,inferred_transformer_winding,279574;279570,Closed;Closed,
279544,ELKTN,24064,1,Closed,inferred_transformer_winding,279543;279545,Closed;Closed,
279312,EMSES,24067,1,Closed,inferred_transformer_winding,279315;279311,Closed;Closed,
279731,EMSES,24066,2,Closed,inferred_transformer_winding,279730;279021,Closed;Closed,
280420,EVRSW,24070,3,Closed,inferred_transformer_winding,280180;279907,Closed;Closed,
374207,EVRSW,24124,4,Closed,inferred_transformer_winding,374205;374206,Closed;Closed,
718555,EXCSW,24155,1,Closed,inferred_transformer_winding,718554;718553,Closed;Closed,
718826,EXCSW,24156,2,Closed,inferred_transformer_winding,718824;718825,Closed;Closed,
626865,EXPSW,900636,1,Closed,inferred_transformer_winding,626863;626864,Closed;Closed,
630888,EXPSW,24150,2,Closed,inferred_transformer_winding,630887;630886,Closed;Closed,
5760702,FAYETT,77815,3,,,5760701;107357,Open;Open,all_siblings_open
279569,FGRSW,24071,1,Closed,inferred_transformer_winding,279571;279572,Closed;Closed,
676578,FORMOSA,111146,X2,Closed,inferred_transformer_winding,676576,Closed,
676577,FORMOSA,111146,X2,Closed,inferred_transformer_winding,676576,Closed,
468073,FORMOSA,111145,X3,Closed,inferred_transformer_winding,468071,Closed,
468072,FORMOSA,111145,X3,Closed,inferred_transformer_winding,468071,Closed,
279280,FORSW,24072,1,Closed,inferred_transformer_winding,279281;279279,Closed;Closed,
413387,FOWLRTON,5703,1,Closed,inferred_transformer_winding,413386;413385,Closed;Closed,
863968,FRONTERA,8035,1A,,,863967;863966,Open;Open,all_siblings_open
863990,FRONTERA,8035,2A,,,863988;863989,Open;Open,all_siblings_open
754005,FRYSW,24163,1,Closed,inferred_transformer_winding,754003;754004,Closed;Closed,
60365,FSHSW,24024,1,Closed,inferred_transformer_winding,60394;60407,Closed;Closed,
829940,GARZA,8398,1,Closed,inferred_transformer_winding,829939;829941,Closed;Closed,
280021,GBY,49119,A1,Closed,inferred_transformer_winding,280020;280019,Closed;Closed,
307144,GBY,49128,A2,Closed,inferred_transformer_winding,307142;307143,Closed;Closed,
280071,GBY,49129,A5,Closed,inferred_transformer_winding,280068,Closed,
280090,GBY,49129,A5,Closed,inferred_transformer_winding,280068,Closed,
279902,GIBCRK,980,1,Closed,inferred_transformer_winding,280387;280122,Closed;Closed,
280142,GIBCRK,959,2,Closed,inferred_transformer_winding,280416;280228,Closed;Closed,
279110,GIBCRK,955,3,Closed,inferred_transformer_winding,279115;279116,Closed;Closed,
312846,GILLCR,777340,2,Closed,inferred_transformer_winding,312844;312939,Closed;Closed,
318781,GILLCR,777341,3,Closed,inferred_transformer_winding,318769;318731,Closed;Closed,
279299,GN_S_I,987,1,Closed,inferred_transformer_winding,279302;279300,Closed;Closed,
280225,GN_S_I,990,2,Closed,inferred_transformer_winding,280321;280140,Closed;Closed,
279333,GS,49166,A1,Closed,inferred_transformer_winding,279326;279331,Closed;Closed,
21504,GS,49156,A2,Closed,inferred_transformer_winding,21497;21361,Closed;Closed,
835254,GTRSW,24171,1,Closed,inferred_transformer_winding,835252;835253,Closed;Closed,
321285,GV,49116,A1,Closed,inferred_transformer_winding,321284;321283,Closed;Closed,
726992,HERON,60111,1,Closed,inferred_transformer_winding,726990;726991,Closed;Closed,
279747,HHGT,170252,1,Closed,inferred_transformer_winding,279727;279739,Closed;Closed,
280197,HHGT,170253,2,Closed,inferred_transformer_winding,280325;279873,Closed;Closed,
281278,HILLCTRY,5206,1,Closed,inferred_transformer_winding,281130;281262,Closed;Closed,
