teid,ReasonID,BranchId,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
329307,4,,MR2L,MR2L,TCOSWAX1L,TCOSWAXFMR1LH,2017-05-17 00:00:00,2017-05-17 00:00:00,2017-05-31 16:39:00
366035,4,,STL_T1,STLT1,STELLAT1,STELLAT1,2018-09-06 00:00:00,2018-09-06 00:00:00,2018-09-28 16:00:00
347844,4,,SU_XF_VEALMOOR34507TR1_ST,SUXFVEALMOOR34507TR1ST,VEALMOOR7TR1,VEALMOORVLMTR1H,2018-06-01 00:00:00,2018-06-01 00:00:00,2018-06-02 08:20:00
58390,4,,A1,A1,LOBOA3,LOBO3345138H,2017-02-28 17:01:00,2017-02-28 16:57:00,2017-07-03 11:24:00
185126,9,,DELETE,DELETE,DERMOTTTLINE1,DERMOTTTLINE1,2017-02-07 23:58:00,2017-02-07 23:58:00,2017-02-07 23:59:00
317479,4,,PS0,PS0,6520G,6520G,2016-10-05 00:00:00,2016-10-05 00:00:00,2017-02-02 07:31:00
358589,4,,PLM7TR2,PLM7TR2,PALMITO7TR2,PALMITO7TR2H,2018-11-02 08:01:00,2018-11-02 08:01:00,2018-11-02 20:00:00
334189,4,,TCN7TR2,TCN7TR2,TULECNYN7TR2,TULECNYN345,2018-01-15 00:01:00,2018-01-15 00:01:00,2018-03-09 13:57:00
113629,9,,1804,1804,MDOAT2,MDOAT2H,2016-11-10 13:45:00,2016-11-10 13:45:00,2016-11-11 06:59:00
273822,4,,GSU-AET902,GSUAET902,AEECA902,AEECA902,2016-08-15 00:01:00,2016-08-15 00:01:00,2016-08-29 23:59:00
273970,4,,GSU-AET903,GSUAET903,AEECA903,AEECA903,2016-08-15 00:01:00,2016-08-15 00:01:00,2016-08-29 23:59:00
121320,9,,J330X,J330X,CAMWINDTL1,CAMWINDTL1,2015-03-31 17:01:00,2015-03-31 17:01:00,2015-05-18 11:59:00
