teid,branch_id,branch_name,op_eqcode,device_type,from_name,to_name,ckt,other_branch_ids_sharing_teid,other_branch_names_sharing_teid
1136,60004052,CONCHO_SACH11,CONCHO_SACH1_1,Line,SACH2A,CONCHO2A,1,60086729,SACH_SACO11
1136,60086729,SACH_SACO11,SACH_SACO1_1,Line,SACO2A,SACH2A,1,60004052,CONCHO_SACH11
1141,60084526,MILE_ROWE11,MILE_ROWE1_1,Line,ROWE2A,MILE2A,1,60006194,MILES_ROWE11
1141,60006194,MILES_ROWE11,MILES_ROWE1_1,Line,ROWE2A,MILES2A,1,60084526,MILE_ROWE11
1148,60002853,ABMM_ABOV1,ABMM_ABOV1_1,Line,ABMM2A,ABOV2A,1,60009069,MCMURR_OVERST11
1148,60009069,MCMURR_OVERST11,MCMURR_OVERST1_1,Line,OVERSTRE2A,MCMURRY2A,1,60002853,ABMM_ABOV1
1149,60002827,ABD2_ARNT1,ABD2_ARNT1_1,Line,ABDYES22,ARNT2A,1,60009066,ARNT_DYESS211
1149,60009066,ARNT_DYESS211,ARNT_DYESS21_1,Line,DYESS2AB2A,ARNT2A,1,60002827,ABD2_ARNT1
1166,60005902,LON_HI_OXY_CC1,LON_HI_OXY_CC1_1,Line,LON_HILL4A,OXY_CC4A,1,60008132,EQUIST_LON_HI11
1166,60008132,EQUIST_LON_HI11,EQUIST_LON_HI1_1,Line,LON_HILL4A,EQUISTAR4A,1,60005902,LON_HI_OXY_CC1
1171,60002943,AIRCO4_NCARBI1,AIRCO4_NCARBI1_1,Line,AIRCO44A,NCARBIDE4A,1,60009705,NCARBI_SEADRF11
1171,60009705,NCARBI_SEADRF11,NCARBI_SEADRF1_1,Line,SEADRFTC4A,NCARBIDE4A,1,60002943,AIRCO4_NCARBI1
1175,60006102,MCKENZ_OXY_CC1,MCKENZ_OXY_CC1_1,Line,OXY_CC4A,MCKENZIE4A,1,60008139,EQUIST_MCKENZ11
1175,60008139,EQUIST_MCKENZ11,EQUIST_MCKENZ1_1,Line,EQUISTAR4A,MCKENZIE4A,1,60006102,MCKENZ_OXY_CC1
1240,60002881,ABSO_HARTFR1,ABSO_HARTFR1_1,Line,ABSO2A,HARTFRDT2A,1,60009059,HARTFR_SOUTHA11
1240,60009059,HARTFR_SOUTHA11,HARTFR_SOUTHA1_1,Line,HARTFRDT2A,SOUTHABI2A,1,60002881,ABSO_HARTFR1
1243,60081930,ESPYWE_FTDA11,ESPYWE_FTDA1_1,Line,,,1,60004608,ESPYWE_FORTDA11
1243,60004608,ESPYWE_FORTDA11,ESPYWE_FORTDA1_1,Line,ESPY2A,FORTDAVI2A,1,60081930,ESPYWE_FTDA11
1420,60001722,565_K,565__K,Line,ANNAGCEC_T8,ANNASW_T8,1,60011525,567_E
1420,60011525,567_E,567__E,Line,ANNAGCEC_T8,STONEYPT_P8,1,60001722,565_K
1421,60001723,565_L,565__L,Line,MELSSA_P8,ANNAGCEC_T8,1,60011520,567_G
1421,60011520,567_G,567__G,Line,MELSSA_P8,ANNASE_8,1,60001723,565_L
1527,60003298,BGLK_PHBL_T1,BGLK_PHBL_T1_1,Line,BGLK2B,PHBL_TAP2A,1,60009115,BIGLAK_PHBL_T11
1527,60009115,BIGLAK_PHBL_T11,BIGLAK_PHBL_T1_1,Line,BIGLAKE2B,PHBL_TAP2A,1,60003298,BGLK_PHBL_T1
1532,60006183,MIDW_OZNA1,MIDW_OZNA1_1,Line,MIDW2A,OZNA2A,1,60008082,MIDW_OZONA11
1532,60008082,MIDW_OZONA11,MIDW_OZONA1_1,Line,MIDW2A,OZONA2A,1,60006183,MIDW_OZNA1
1539,60002868,ABPG_OILMIT1,ABPG_OILMIT1_1,Line,ABPG2A,ABOM2A,1,60009075,ABPOWE_OILMIT11
1539,60009075,ABPOWE_OILMIT11,ABPOWE_OILMIT1_1,Line,ABOM2A,ABPOWERS2A,1,60002868,ABPG_OILMIT1
1540,60004850,FTLN_SHEF1,FTLN_SHEF1_1,Line,SHEF2A,FTLN2A,1,60008086,FTLN_SHEFFI11
1540,60008086,FTLN_SHEFFI11,FTLN_SHEFFI1_1,Line,SHEFFIEL2A,FTLN2A,1,60004850,FTLN_SHEF1
1541,60084303,MCAD_PADC11,MCAD_PADC1_1,Line,,,1,60006079,MCADTP_PADC11
