isomarketid,branchID,branchName,ptoIDSource,InsertDate,b1,b2,b3,ckt,OP_EQCODE,LNNAME,EQNAME,DeviceType,FromName,ToName,b3Text,branchStationID,branchDeviceTypeId,teid,collapseId,legacyBranchId,ptoBranchID,fromNum,toNum,pto_ckt,pto_deviceType,identity_key,has_pto_match,dup_type
6,60036412,GRSES_SR6353_345,,2023-11-21 12:26:39.067,,,,,GRSES_SR6353_345,,SR6353,shunt,GRHAMSES1_5,,GRSES,,,282087.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60101950,GRSES_REACTOR_8_345,,2025-10-31 13:24:54.147,,,,5,GRSES_REACTOR_8_345,,REACTOR_8,shunt,GRHAMSES1_5,,GRSES,,7.0,282087.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60066457,SOUTHABI_C11_138,,2023-11-21 12:26:39.067,,,,,SOUTHABI_C11_138,,C11,shunt,SOUTHABI4A,,SOUTHABI,,,282103.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60079340,ABSO_C11_138,,2024-01-25 09:01:19.767,,,,,ABSO_C11_138,,C11,shunt,ABSO4A,,ABSO,,,282103.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60043718,LA_PALMA_3_138,,2023-11-21 12:26:39.067,,,,,LA_PALMA_3_138,,3,shunt,LA_PALMA4A,,LA_PALMA,,,282107.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60091411,LA_PALMA_C2_138,,2024-06-19 03:19:55.603,,,,3,LA_PALMA_C2_138,,C2,shunt,LA_PALMA4A,,LA_PALMA,,,282107.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60030867,ESCONDID_C1_138,,2023-11-21 12:26:39.067,,,,,ESCONDID_C1_138,,C1,shunt,ESCONDID4A,,ESCONDID,,,282110.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60094948,ESCONDID_C2_138,,2025-01-08 01:22:34.670,,,,1,ESCONDID_C2_138,,C2,shunt,ESCONDID4A,,ESCONDID,,7.0,282110.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60019554,BRK_BRK_C1_138,,2023-11-21 12:26:39.067,,,,,BRK_BRK_C1_138,,BRK_C1,shunt,BROCK,,BRK,,,282126.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60080355,BRK_BRK_C18_138,,2024-01-25 09:01:19.767,,,,,BRK_BRK_C18_138,,BRK_C18,shunt,,,BRK,,,282126.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60022547,CEDRHILL_CAP1_69,,2023-11-21 12:26:39.067,,,,,CEDRHILL_CAP1_69,,CAP1,shunt,CEDRHILL2A,,CEDRHILL,,,282174.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60080675,CEDH_CAP1_69,,2024-01-25 09:01:19.767,,,,,CEDH_CAP1_69,,CAP1,shunt,CEDH2A,,CEDH,,,282174.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60056853,PKLAKE_MSPC2_69,,2023-11-21 12:26:39.067,,,,,PKLAKE_MSPC2_69,,MSPC2,shunt,MRSSHPRD,,PKLAKE,,,282175.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60084702,MSP_MSPC2_69,,2024-01-25 09:01:19.767,,,,,MSP_MSPC2_69,,MSPC2,shunt,,,MSP,,,282175.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60071115,TUSCOLA_CAP1_69,,2023-11-21 12:26:39.067,,,,,TUSCOLA_CAP1_69,,CAP1,shunt,TUSCOLA2A,,TUSCOLA,,,282181.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60088031,TUSC_CAP1_69,,2024-01-25 09:01:19.767,,,,,TUSC_CAP1_69,,CAP1,shunt,TUSC2A,,TUSC,,,282181.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60027808,DEL_MAR_138_CAP_138,,2023-11-21 12:26:39.067,,,,,DEL_MAR_138_CAP_138,,138_CAP,shunt,DEL_MAR4A,,DEL_MAR,,,282238.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60091533,DEL_MAR_C1_138,,2024-07-03 03:20:26.560,,,,1,DEL_MAR_C1_138,,C1,shunt,DEL_MAR4A,,DEL_MAR,,,282238.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60059965,RENSW_23_138,,2023-11-21 12:26:39.067,,,,,RENSW_23_138,,23,shunt,RNRDPL_S8,,RENSW,,,282269.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60086323,RENSW_CAPBNK2C_138,,2024-01-25 09:01:19.767,,,,,RENSW_CAPBNK2C_138,,CAPBNK2C,shunt,,,RENSW,,,282269.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60042463,KLNSW_CAPBNK12_138,,2023-11-21 12:26:39.067,,,,,KLNSW_CAPBNK12_138,,CAPBNK12,shunt,KILL_SS__8,,KLNSW,,,282310.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60083522,KLNSW_CAPBNK2_138,,2024-01-25 09:01:19.767,,,,,KLNSW_CAPBNK2_138,,CAPBNK2,shunt,,,KLNSW,,,282310.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60073570,WEIL_TRC_C2_138_OldTeid,,2023-11-21 12:26:39.067,,,,,WEIL_TRC_C2_138_OldTeid,,C2,shunt,WEIL_TRC4A,,WEIL_TRC,,,282311.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60094014,WEIL_TRC_C2_OLD_138,,2024-11-01 01:24:05.607,,,,0,WEIL_TRC_C2_OLD_138,,C2_OLD,shunt,WEIL_TRC4A,,WEIL_TRC,,,282311.0,,,,,,,,-1|-1|,False,insufficient_pto_data
